source,docnumber,year,contract_type,repeat_note,tractor_firstname_italian,tractor_familyname_italian,tractor_firstname_latin,tractor_familyname_latin,tractor_familyname_std_gc,tractor_familyname_std,tractor_2_firstname_italian,tractor_2_familyname_italian,tractor_2_firstname_latin,tractor_2_familyname_latin,tractor_2_familyname_std_gc,tractor_2_familyname_std,stans_firstname_italian,stans_familyname_italian,stans_firstname_latin,stans_familyname_latin,stans_familyname_std_gc,stans_familyname_std,stans_2_firstname_italian,stans_2_familyname_italian,stans_2_firstname_latin,stans_2_familyname_latin,stans_2_familyname_std_gc,stans_2_familyname_std
"Morozzo della Rocca and Lombardo (1940)",468,1205,"colleganza","","Michele","Emo","Michael","Aymo","Emo","Emo","","","","","","","Giovanni","Natale","Iohanne","Natale","Nadal","Nadal","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",747,1239,"repeat","settlement for document 720","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Cipriano","Manguni","Ciprianus","Mangoni","","","","","","","",""
"Sebellico (1973)",213,1322,"colleganza","","Giacomello","Tiepolo","Iacobellus","Teupulo","Tiepolo","Tiepolo","","","","","","","Giovannino","Tiepolo","Iohannino","Teupulo","Tiepolo","Tiepolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",588,1220,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Agnese","Gradenigo","Agneti","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",414,1192,"colleganza settlement","","Blasio","Basegio","Blasio","Basilio","Baseggio","Baseggio","","","","","","","Giovanni","Natale","Iohannes","Natalis","Nadal","Nadal","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",511,1208,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Maria","Ziani","Maria","Ciani","Ziani","Ziani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",679,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Prodano","Dandolo","Prodano","Dandulo","Dandolo","Dandolo","","","","","",""
"Sebellico (1973)",149,1320,"colleganza","","Pietro","Sagredo","Petrus","Sagreto","Sagredo","Sagredo","","","","","","","Nicola","Arimondo","Nicolao","Arimondo","Arimondo","Arimondo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",720,1239,"colleganza","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Cipriano","Mangoni","Cipriano","Mangoni","","","","","","","",""
"Tiepolo (1970)",499,1316,"colleganza","","Marco","Belin","Marcus","Belin","Belegno","Belegno","","","","","","","Constanza","Barbetta","Costança","Barbeta","Barbetta","Barbetta","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",752,1242,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Leonardo","Minio","Leonardo","Minio","Minio","Minio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",626,1212,"colleganza reference","","Marco","de Romano","Marcus","da Romano","Romani","Romani","","","","","","","Bratholo","Agadi","Bratholo","Agadi","Agadi","Agadi","Pietro","Agadi","Pietro","Agadi","Agadi","Agadi"
"Morozzo della Rocca and Lombardo (1940)",692,1234,"colleganza settlement","","Giovanni","Michiel","Iohanni","Michaeli","Michiel","Michiel","","","","","","","Giovanni","Bocasso","Iohannes","Bocassio","Boccazo","Boccazo","Pietro","Bocasso","Petrus","Bocassio","Boccazo","Boccazo"
"Morozzo della Rocca and Lombardo (1940)",723,1239,"colleganza","","Domenico","Venier","Dominicus","Venero","Venier","Venier","","","","","","","Antonio","Caravello","Antonio","Caravello","Caravello","Caravello","Marco","Caravello","Marco","Caravello","Caravello","Caravello"
"Morozzo della Rocca and Lombardo (1940)",459,1159,"colleganza settlement","","Domenico","Corner","Dominici","Cornarii","Corner","Corner","","","","","","","Pietro","Corner","Petrus","Cornarii","Corner","Corner","Leone","Corner","Leo","Cornarii","Corner","Corner"
"Sebellico (1973)",441,1326,"colleganza","","Enrico","Straccivendolo","Henricus","Straçarolo","","","","","","","","","Marco","di Artico","Marco","de Artico","","","Marino","di Lorenzo","Marino","de Laurencio","De Laurentio","De Laurentio"
"Morozzo della Rocca and Lombardo (1940)",663,1232,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Domenico","Grimani","Dominico","Grimani","Grimani","Grimani","Filippo","Grimani","Philipo","Grimani","Grimani","Grimani"
"Morozzo della Rocca and Lombardo (1940)",655,1230,"colleganza settlement","","Leonardo","Minio","Leonardo","Minio","Minio","Minio","","","","","","","Sidiana","Marino","Sidiana","Marino","Marin","Marin","Giovanni, Domenico & Bartolomeo","Marino","Iohannes, Dominicus & Bartholomeus","Marino","Marin","Marin"
"Morozzo della Rocca and Lombardo (1940)",858,1260,"colleganza","","Pietro","Gausoni","Petrus","Gausoni","Gussoni","Gussoni","","","","","","","Marco","Michiel","Marco","Michaele","Michiel","Michiel","Angelo & Tommaso","Michiel","Angelo & Thoma","Michaele","Michiel","Michiel"
"Lombardo and Morozzo della Rocca (1953)",103,1261,"colleganza settlement","","Stefano","Venier","Stephano","Venero","Venier","Venier","","","","","","","Marco","Michiel","Marco","Michaele","Michiel","Michiel","Angelo & Tommaso","Michiel","Angelo & Thoma","Michaele","Michiel","Michiel"
"Morozzo della Rocca and Lombardo (1940)",737,1239,"repeat","settlement for document 718","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Giovanni","Albino","Iohanne","Albino","Albino","Albino","Pasquale","Mudacio","Pascali","Mudacio","Muazzo","Muazzo"
"Morozzo della Rocca and Lombardo (1940)",727,1238,"colleganza reference","","Ugolino","Lombardo","Ugolini","Lombardi","Lombardo","Lombardo","","","","","","","Pietro","Nani","Petro","Nani","Nani","Nani","Zaccaria","Nani","Çacharias","Nani","Nani","Nani"
"Morozzo della Rocca and Lombardo (1940)",688,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Rinaldo","Rosso","Rainaldo","Rosso","Rosso","Rosso","Marino","Rosso","Marino","Rosso","Rosso","Rosso"
"Morozzo della Rocca and Lombardo (1940)",555,1213,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Michele","Soranzo","Michael","Seuranco","Soranzo","Soranzo","Pietro","Soranzo","Petrus","Seuranco","Soranzo","Soranzo"
