Family;Start;End
 AVONAL nel '300–dopo; 1612;
 FERRAMOSCA; 1648;1679
 BALBI; 1297;1797
 EMO; 1297;1797
 LUCCA; 1654; tra 1734 e 1759
 LABIA; 1646;1797
 BAGLIONI; 1716;1797
 SABADIN; ?;1361
 LEUCARI; 1297;1368
 D'EQUILO; 1297; tra 1379 e 1493
 PARADISO; 1297;fine '400
 ZUSTO; 1297;1797
 ARIMONDO; 1297; tra 1666 e 1698
 MACCARELLI; 1648;1676
 CONCANFO; ?;1372
 FOSCOLO; 1297;1797
 ZULIAN; 1297;1795
 PRIULI; 1297;1797
 VANERI; ?;1312
 DAVILLO; ?;1319
 CATTANIO; ?;1383
 VIDOR; 1310;1414
 AGADI 1297,; 1310;1408
 GRITTI; 1297;1797
 GRADENIGO; 1297;1797
 BENETO; ?; tra 1655 e 1666
 ERIZZO; 1297;1797
 SAVONER; 1297;1321 18
 GIUSTINIAN; 1297;1797
 IACOLO; ?;1305
 MALIPIERO; 1297;1797
 LOMBRIA; 1646;1722
 BON 1297,; 1381;1797
 CODOGNOLA; 1446;?
 CANAL (DA); 1297;1797
 DONADI; 1311; tra 1543 e 1605
 MARTINE; ?;1314
