Name,Year,Type
"Marco Da Molin",1331,tractor
"Marco Da Molin",1333,tractor
"Marco Dolce",1225,stans
"Marco Donato",1313,stans
"Marco Giustinian",1191,stans
"Marco Giustinian",1243,stans
"Marco Giustinian",1319,stans
"Marco Giustinian",1327,stans
"Marco Giustinian",1329,stans
"Marco Giustinian",1331,stans
"Marco Giustinian",1333,stans
"Marco Longo",1236,tractor
"Marco Loredan",1333,tractor
"Marco Marin",1234,tractor
"Marco Marioni",1257,stans
"Marco Martinazo",1320,tractor
"Marco Michiel",1260,stans
"Marco Michiel",1261,stans
"Marco Michiel",1323,tractor
"Marco Morosini",1319,stans
"Marco Morosini",1321,stans
"Marco Morosini",1323,stans
"Marco Morosini",1325,stans
"Marco Morosini",1327,stans
"Marco Morosini",1329,tractor
"Marco Morosini",1329,stans
"Marco Morosini",1331,stans
"Marco Pizolo",1228,tractor
"Marco Romani",1212,tractor
"Marco Romani",1232,tractor
"Marco Seio",1239,stans
"Marco Seio",1239,stans
"Marco Semitecolo",1254,tractor
"Marco Signolo",1188,tractor
"Marco Simone",1207,tractor
"Marco Soranzo",1328,tractor
"Marco Spatario",1250,stans
"Marco Tiepolo",1182,stans
"Marco Tiepolo",1190,stans
"Marco Tolonegi",1190,stans
"Marco Urso",1138,tractor
"Marco Valaresso",1226,stans
"Marco de Stolla",1316,stans
"Marco di Artico",1326,stans
"Margarito D'Equilo",1225,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Margarito Giacomo",1239,tractor
"Maria Soranzo",1316,stans
"Maria Tagliapietra",1323,stans
"Maria Zeno",1313,stans
"Maria Ziani",1208,stans
"Maria Ziani",1209,stans
"Maria Ziani",1209,stans
"Maria Zusto",1234,stans
"Maria Zusto",1234,stans
"Marinello Badoer",1316,tractor
"Marinello Badoer",1316,tractor
"Marinello Badoer",1316,tractor
"Marinello Badoer",1316,tractor
"Marinello Badoer",1322,tractor
"Marino Badoer",1253,stans
"Marino Badoer",1253,stans
"Marino Badoer",1319,stans
"Marino Badoer",1321,stans
"Marino Badoer",1323,stans
"Marino Bellono",1234,stans
"Marino Businago",1253,stans
"Marino Businago",1254,tractor
"Marino Canal",1223,tractor
"Marino Dauro",1205,stans
"Marino De Laurentio",1326,stans
"Marino Ghisi",1252,stans
"Marino Ghisi",1253,tractor
"Marino Marcello",1232,stans
"Marino Michiel",1131,tractor
"Marino Moro",1323,stans
"Marino Moro",1323,stans
"Marino Morosini",1326,tractor
"Marino Morosini",1326,tractor
"Marino Morosini",1326,tractor
"Marino Morosini",1328,tractor
"Marino Morosini",1328,tractor
"Marino Premarin",1224,stans
"Marino Rosso",1234,stans
"Marino Soranzo",1313,stans
"Marino Spatario",1250,stans
"Marino da Tumba",1234,stans
"Martino Messeta",1256,stans
"Martino Miani",1244,tractor
"Martino Miani",1244,tractor
"Martino Speziale",1228,stans
"Marziale Banzon",1322,tractor
"Matteo Barbarigo",1338,tractor
"Matteo Barbo",1222,stans
"Matteo Flabiano",1319,tractor
"Matteo Marzolo",1207,stans
"Matteo Marzolo",1207,stans
"Matteo Marzolo",1208,stans
"Matteo Marzolo",1209,stans
"Matteo Marzolo",1210,stans
"Matteo Marzolo",1212,stans
"Matteo Marzulo",1204,stans
"Matteo Marzulo",1205,stans
"Matteo Simitecolo",1224,tractor
"Matteo d'Ancontano",1313,tractor
"Matteo d'Ancontano",1313,tractor
"Matteo de Manzolo",1220,tractor
"Matteo de Manzolo",1222,tractor
"Matteo de Protis",1323,tractor
"Matteo de Protis",1323,tractor
"Matteo di Federico",1323,stans
"Michele Canal",1242,stans
"Michele Contarini",1310,tractor
"Michele Contarini",1310,tractor
"Michele Contarini",1322,stans
"Michele Contarini",1323,stans
"Michele Emo",1205,tractor
"Michele Emo",1208,tractor
"Michele Emo",1208,tractor
"Michele Emo",1218,tractor
"Michele Emo",1224,tractor
"Michele Emo",1224,tractor
"Michele Emo",1225,tractor
"Michele Emo",1226,tractor
"Michele Emo",1226,tractor
"Michele Grego",1248,stans
"Michele Semitecolo",1182,stans
"Michele Semitecolo",1190,stans
"Michele Soranzo",1213,stans
"Mirabello Boninsegna",1316,tractor
"Mliziana Fel",1233,stans
"Nascimbene Mussolino",1322,tractor
"Natale Polini",1197,stans
"Natale Staniario",1239,tractor
"Nicola Agadi",1234,stans
"Nicola Arimondo",1319,stans
"Nicola Arimondo",1320,stans
"Nicola Arimondo",1320,stans
"Nicola Badoer",1225,tractor
"Nicola Caravello",1319,stans
"Nicola Caravello",1321,stans
"Nicola Caravello",1323,stans
"Nicola Dalle Sevole",1327,stans
"Nicola Dalle Sevole",1329,stans
"Nicola Dalle Sevole",1331,stans
"Nicola Dalle Sevole",1333,stans
"Nicola Emo",1232,tractor
"Nicola Miani",1323,tractor
"Nicola Miani",1323,tractor
"Nicola Mozo",1323,tractor
"Nicola Sirano",1252,tractor
"Nicola Soranzo",1316,stans
"Nicola di donna Maria",1248,stans
"Nicoletto Boldu",1319,tractor
"Nicolotta Michiel",1316,stans
"Nicolò Morosini",1311,stans
"Obizo Speziale",1228,stans
"Odorico Belli",1242,tractor
"Odorico Belli",1242,tractor
"Odorico Belli",1244,tractor
"Odorico Belli",1252,tractor
"Omobono Barastro",1242,stans
"Omobono Barastro",1256,stans
"Omobono Barbo",1232,tractor
"Omobono Barbo",1232,tractor
"Omobono Barbo",1242,tractor
"Omobono Barbo",1242,tractor
"Omobono Barbo",1243,tractor
"Omobono Barbo",1243,tractor
"Omobono Barbo",1243,tractor
"Omobono Barbo",1244,tractor
"Omobono Barbo",1246,tractor
"Oria Gradenigo",1222,stans
"Orio Barbarigo",1200,stans
"Orio Casolo",1208,stans
"Orio Navigroso",1120,stans
"Orseola Mocenigo",1205,stans
"Ota Zorzi",1218,stans
"Ottone Falier",1130,tractor
"Ottonello Barberius",1312,stans
"Palma Navager",1244,stans
"Palmero Zane",1206,stans
"Pangrazio Capello",1235,stans
"Pangrazio Michiel",1192,stans
"Pangrazio Pasqualigo",1170,tractor
"Pantaleone Giustinian",1325,stans
"Paolo Da Molin",1247,stans
"Paolo Foscarini",1328,stans
"Paolo Navigroso",1223,stans
"Pasquale Muazzo",1239,stans
"Pietro Addoldo",1130,stans
"Pietro Agadi",1212,stans
"Pietro Alberto",1234,stans
"Pietro Alberto",1234,stans
"Pietro Avenanzo",1210,stans
"Pietro Barbani",1200,stans
"Pietro Batello",1241,tractor
"Pietro Bembo",1213,stans
"Pietro Boccazo",1234,stans
"Pietro Cazzamonti",1319,stans
"Pietro Corner",1156,tractor
"Pietro Corner",1159,stans
"Pietro Da Molin",1170,tractor
"Pietro Da Molin",1184,tractor
"Pietro Da Molin",1189,stans
"Pietro Da Molin",1207,stans
"Pietro Da Mula",1185,stans
"Pietro Da Mula",1198,stans
"Pietro Da Mula",1201,stans
"Pietro Darpin",1224,stans
"Pietro Dolfin",1244,stans
"Pietro Falier",1167,tractor
"Pietro Falier",1191,tractor
"Pietro Falier",1191,tractor
"Pietro Falier",1252,stans
"Pietro Foscolo",1242,tractor
"Pietro Ghisi",1316,stans
"Pietro Gradenigo",1208,stans
"Pietro Gradenigo",1208,stans
"Pietro Gussoni",1260,tractor
"Pietro Gussoni",1260,tractor
"Pietro Istrigo",1200,stans
"Pietro Longo",1207,stans
"Pietro Michiel",1191,stans
"Pietro Morosini",1186,tractor
"Pietro Morosini",1329,tractor
"Pietro Nani",1238,stans
"Pietro Premarin",1239,stans
"Pietro Querini",1155,stans
"Pietro Sagredo",1320,tractor
"Pietro Sagredo",1320,tractor
"Pietro Soranzo",1213,stans
"Pietro Storladi",1088,stans
"Pietro Storladi",1089,stans
"Pietro Tiepolo",1189,tractor
"Pietro Tiepolo",1195,tractor
"Pietro Tonisti",1191,tractor
